,Q4_1,Q5,Q6,Q7,Q4_1_score,Q5_score,Q6_score,Q7_score
79,3,PM < 1 μm,Particles of this size are generally absorbed in the respiratory tract and safely excreted in mucus.,"Dirt Roads,Electric Vehicles,Fireplaces",1,0,1,1.0
80,2.5,PM < 1 μm,Particles of this size are generally absorbed in the respiratory tract and safely excreted in mucus.,Fireplaces,1,0,1,3.0
81,2,PM < 0.25 μm,Particles of this size are generally absorbed in the respiratory tract and safely excreted in mucus.,"Cars,Trucks",0,0,1,3.0
82,3.5,PM < 1 μm,Particles of this size include dust and pollen and are the main source of seasonal rhinitis,"Cars,Fireplaces,Pollen,Trucks",1,0,0,2.25
83,3.5,PM < 1 μm,Particles of this size include dust and pollen and are the main source of seasonal rhinitis,"Cars,Dirt Roads,Trucks",1,0,0,2.0
84,3.5,PM < 1 μm,Particles of this size include dust and pollen and are the main source of seasonal rhinitis,"Cars,Trucks",1,0,0,3.0
85,3.5,PM < 2.5 μm,Particles of this size reach the bronchial tree where they corrode the alveolar parenchyma.,"Cars,Dirt Roads,Fireplaces,Pollen,Trucks",1,1,0,1.8
86,4,PM < 2.5 μm,Particles of this size include dust and pollen and are the main source of seasonal rhinitis,"Cars,Pollen",0,1,0,1.5
87,3,PM < 25 μm,Particles of this size include dust and pollen and are the main source of seasonal rhinitis,"Cars,Electric Vehicles,Fireplaces",1,0,0,2.0
88,4,PM < 0.25 μm,Particles of this size include dust and pollen and are the main source of seasonal rhinitis,Electric Vehicles,0,0,0,0.0
89,3.5,PM < 10 μm,Particles of this diameter are unable to be suspended in air.,"Dirt Roads,Electric Vehicles,Fireplaces,Pollen",1,0,0,0.75
90,1.5,PM < 1 μm,Particles of this diameter are unable to be suspended in air.,Cars,0,0,0,3.0
91,4,PM < 0.05 μm,Particles of this size are generally absorbed in the respiratory tract and safely excreted in mucus.,"Cars,Dirt Roads,Electric Vehicles,Fireplaces",0,0,1,1.5
92,2.5,PM < 0.25 μm,Particles of this size include dust and pollen and are the main source of seasonal rhinitis,Fireplaces,1,0,0,3.0
93,2.5,PM < 2.5 μm,Particles of this diameter are unable to be suspended in air.,"Cars,Trucks",1,1,0,3.0
94,4.5,PM < 0.25 μm,Particles of this size include dust and pollen and are the main source of seasonal rhinitis,Fireplaces,0,0,0,3.0
95,3,PM < 0.05 μm,Particles of this size reach the bronchial tree where they corrode the alveolar parenchyma.,"Cars,Fireplaces,Trucks",1,0,0,3.0
96,2,PM < 0.25 μm,Particles of this size reach the bronchial tree where they corrode the alveolar parenchyma.,"Cars,Dirt Roads,Fireplaces,Pollen,Trucks",0,0,0,1.8
97,2.5,PM < 10 μm,Particles of this size are generally absorbed in the respiratory tract and safely excreted in mucus.,"Cars,Fireplaces,Trucks",1,0,1,3.0
98,2.5,PM < 0.25 μm,Particles of this size reach the bronchial tree where they corrode the alveolar parenchyma.,"Cars,Pollen,Trucks",1,0,0,2.0
99,,,,,0,0,0,
100,,,,,0,0,0,
101,,,,,0,0,0,
102,,,,,0,0,0,
103,,,,,0,0,0,
104,,,,,0,0,0,
105,3,PM < 0.05 μm,,,1,0,0,
106,1,PM < 10 μm,,,0,0,0,
107,3.5,PM < 2.5 μm,,,1,1,0,
108,,,,,0,0,0,
109,,,,,0,0,0,
110,,,,,0,0,0,
111,,,,,0,0,0,
112,3.5,PM < 2.5 μm,,,1,1,0,
113,,,,,0,0,0,
114,,,,,0,0,0,
